2023-12-26 15:36:56,886 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-12-26 16:54:24,081 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [29] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/servicedef/secas_shipment.xml
2023-12-26 16:54:24,084 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [6] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/secas_invoice.xml
2023-12-26 16:54:24,085 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [27] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/secas.xml
2023-12-26 16:54:24,089 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/servicedef/secas.xml
2023-12-26 16:54:24,094 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [5] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/assetmaint/servicedef/secas.xml
2023-12-26 16:54:24,095 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [108] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/servicedef/secas.xml
2023-12-26 16:54:24,097 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [10] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/marketing/servicedef/secas.xml
2023-12-26 16:54:24,101 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [1] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ebay/servicedef/secas.xml
2023-12-26 16:54:24,101 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [9] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/scrum/servicedef/secas.xml
2023-12-26 16:54:24,103 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/example/servicedef/secas.xml
2023-12-26 16:54:24,104 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [5] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/bi/servicedef/secas.xml
2023-12-26 16:54:24,105 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/solr/servicedef/secas.xml
2023-12-26 16:54:24,107 |OFBiz-batch-1        |ServiceDispatcher             |I| Registering dispatcher: entity-default
2023-12-26 16:54:24,107 |OFBiz-batch-1        |ServiceContainer              |I| Created new dispatcher: entity-default
2023-12-26 16:54:25,356 |main                 |ServiceDispatcher             |I| Registering dispatcher: ebay
2023-12-26 16:54:25,356 |main                 |ServiceContainer              |I| Created new dispatcher: ebay
2023-12-26 16:54:25,386 |main                 |ControlServlet                |I| Loading webapp [ebay], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\ebay\webapp\ebay\
2023-12-26 16:54:25,521 |main                 |ConfigXMLReader               |I| controller loaded: 0.003s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-26 16:54:25,544 |main                 |ConfigXMLReader               |I| controller loaded: 0.058s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-26 16:54:25,564 |main                 |ConfigXMLReader               |I| controller loaded: 0.002s, 26 requests, 10 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-12-26 16:54:25,582 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/webapp/WEB-INF/controller.xml
2023-12-26 16:54:25,609 |main                 |ConfigXMLReader               |I| controller loaded: 0.139s, 539 requests, 178 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/webapp/catalog/WEB-INF/controller.xml
2023-12-26 16:54:25,610 |main                 |ConfigXMLReader               |I| controller loaded: 0.188s, 20 requests, 10 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ebay/webapp/ebay/WEB-INF/controller.xml
2023-12-26 16:54:25,887 |main                 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/webapp/freemarkerTransforms.properties
2023-12-26 16:54:25,905 |main                 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/widget/freemarkerTransforms.properties
2023-12-26 16:54:25,919 |main                 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/content/freemarkerTransforms.properties
2023-12-26 16:54:25,947 |main                 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/product/freemarkerTransforms.properties
2023-12-26 16:54:25,972 |main                 |SeoConfigUtil                 |I| Parsing ^.*/.*$
2023-12-26 16:54:25,975 |main                 |SeoConfigUtil                 |I| Parsing category-url [true]:
2023-12-26 16:54:25,976 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /
2023-12-26 16:54:25,976 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /ecomseo
2023-12-26 16:54:25,976 |main                 |SeoConfigUtil                 |I|   category-name: false
2023-12-26 16:54:25,976 |main                 |SeoConfigUtil                 |I|   category-url-suffix: .html
2023-12-26 16:54:25,976 |main                 |SeoConfigUtil                 |I| Parsing jsessionid [true]:
2023-12-26 16:54:25,976 |main                 |SeoConfigUtil                 |I|   anonymous: false
2023-12-26 16:54:25,977 |main                 |SeoConfigUtil                 |I|   exceptions: 
2023-12-26 16:54:25,977 |main                 |SeoConfigUtil                 |I|     url-pattern: ^.*/(keywordsearch|logout).*$
2023-12-26 16:54:25,977 |main                 |SeoConfigUtil                 |I|   user: false
2023-12-26 16:54:25,978 |main                 |SeoConfigUtil                 |I| Parsing url-config
2023-12-26 16:54:25,979 |main                 |SeoConfigUtil                 |I|   url-pattern: ^(.*);jsessionid=(.*)jvm[1-9](.*)$
2023-12-26 16:54:25,980 |main                 |SeoConfigUtil                 |I|     seo replacement: $1$3
2023-12-26 16:54:25,980 |main                 |SeoConfigUtil                 |I|     forward replacement: $1$3
2023-12-26 16:54:25,980 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/main$
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/main$
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     seo replacement: /
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     forward replacement: /
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/control/(.*)$
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/$1
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/$1
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:25,981 |main                 |SeoConfigUtil                 |I| Parsing char-filter: 
2023-12-26 16:54:25,982 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00fc
2023-12-26 16:54:25,983 |main                 |SeoConfigUtil                 |I|   replacement: ue
2023-12-26 16:54:25,983 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00e4
2023-12-26 16:54:25,983 |main                 |SeoConfigUtil                 |I|   replacement: ae
2023-12-26 16:54:25,983 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00f6
2023-12-26 16:54:25,983 |main                 |SeoConfigUtil                 |I|   replacement: oe
2023-12-26 16:54:25,984 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00df
2023-12-26 16:54:25,984 |main                 |SeoConfigUtil                 |I|   replacement: ss
2023-12-26 16:54:25,985 |main                 |SeoConfigUtil                 |I|   character-pattern: \\+
2023-12-26 16:54:25,985 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-26 16:54:25,985 |main                 |SeoConfigUtil                 |I|   character-pattern: \u0026
2023-12-26 16:54:25,985 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-26 16:54:25,985 |main                 |SeoConfigUtil                 |I|   character-pattern: è
2023-12-26 16:54:25,985 |main                 |SeoConfigUtil                 |I|   replacement: e
2023-12-26 16:54:25,986 |main                 |SeoConfigUtil                 |I|   character-pattern: [^A-Za-z0-9+-]
2023-12-26 16:54:25,986 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-26 16:54:25,986 |main                 |SeoConfigUtil                 |I|   character-pattern: -{2,}
2023-12-26 16:54:25,986 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-26 16:54:26,000 |main                 |SeoConfigUtil                 |I| Parsing ^.*/.*$
2023-12-26 16:54:26,000 |main                 |SeoConfigUtil                 |I| Parsing category-url [true]:
2023-12-26 16:54:26,000 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /ecomseo
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|   category-name: false
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|   category-url-suffix: .html
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I| Parsing jsessionid [true]:
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|   anonymous: false
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|   exceptions: 
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|     url-pattern: ^.*/(keywordsearch|logout).*$
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|   user: false
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I| Parsing url-config
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|   url-pattern: ^(.*);jsessionid=(.*)jvm[1-9](.*)$
2023-12-26 16:54:26,001 |main                 |SeoConfigUtil                 |I|     seo replacement: $1$3
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     forward replacement: $1$3
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/main$
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/main$
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     seo replacement: /
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     forward replacement: /
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/control/(.*)$
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/$1
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/$1
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:26,002 |main                 |SeoConfigUtil                 |I| Parsing char-filter: 
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00fc
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   replacement: ue
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00e4
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   replacement: ae
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00f6
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   replacement: oe
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00df
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   replacement: ss
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   character-pattern: \\+
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   character-pattern: \u0026
2023-12-26 16:54:26,003 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-26 16:54:26,004 |main                 |SeoConfigUtil                 |I|   character-pattern: è
2023-12-26 16:54:26,004 |main                 |SeoConfigUtil                 |I|   replacement: e
2023-12-26 16:54:26,004 |main                 |SeoConfigUtil                 |I|   character-pattern: [^A-Za-z0-9+-]
2023-12-26 16:54:26,004 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-26 16:54:26,004 |main                 |SeoConfigUtil                 |I|   character-pattern: -{2,}
2023-12-26 16:54:26,004 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-26 16:54:26,166 |main                 |ServiceDispatcher             |I| Registering dispatcher: marketing
2023-12-26 16:54:26,166 |main                 |ServiceContainer              |I| Created new dispatcher: marketing
2023-12-26 16:54:26,168 |main                 |ControlServlet                |I| Loading webapp [marketing], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\marketing\webapp\marketing\
2023-12-26 16:54:26,201 |main                 |ConfigXMLReader               |I| controller loaded: 0.006s, 91 requests, 48 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/marketing/webapp/marketing/WEB-INF/controller.xml
2023-12-26 16:54:26,378 |main                 |ServiceDispatcher             |I| Registering dispatcher: ofbizDemo
2023-12-26 16:54:26,378 |main                 |ServiceContainer              |I| Created new dispatcher: ofbizDemo
2023-12-26 16:54:26,381 |main                 |ControlServlet                |I| Loading webapp [ofbizDemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\ofbizDemo\webapp\ofbizDemo\
2023-12-26 16:54:26,403 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 7 requests, 3 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ofbizDemo/webapp/ofbizDemo/WEB-INF/controller.xml
2023-12-26 16:54:26,463 |main                 |ServiceDispatcher             |I| Registering dispatcher: order
2023-12-26 16:54:26,463 |main                 |ServiceContainer              |I| Created new dispatcher: order
2023-12-26 16:54:26,467 |main                 |ControlServlet                |I| Loading webapp [ordermgr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\order\webapp\ordermgr\
2023-12-26 16:54:26,576 |main                 |ConfigXMLReader               |I| controller loaded: 0.02s, 347 requests, 134 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/content/webapp/content/WEB-INF/controller.xml
2023-12-26 16:54:26,601 |main                 |ConfigXMLReader               |I| controller loaded: 0.101s, 380 requests, 153 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/webapp/ordermgr/WEB-INF/controller.xml
2023-12-26 16:54:26,688 |main                 |ServiceDispatcher             |I| Registering dispatcher: ap
2023-12-26 16:54:26,688 |main                 |ServiceContainer              |I| Created new dispatcher: ap
2023-12-26 16:54:26,691 |main                 |ControlServlet                |I| Loading webapp [ap], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\accounting\webapp\ap\
2023-12-26 16:54:26,752 |main                 |ConfigXMLReader               |I| controller loaded: 0.015s, 518 requests, 247 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/accounting/WEB-INF/controller.xml
2023-12-26 16:54:26,753 |main                 |ConfigXMLReader               |I| controller loaded: 0.035s, 22 requests, 14 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/ap/WEB-INF/controller.xml
2023-12-26 16:54:26,784 |main                 |ServiceDispatcher             |I| Registering dispatcher: accounting
2023-12-26 16:54:26,784 |main                 |ServiceContainer              |I| Created new dispatcher: accounting
2023-12-26 16:54:26,786 |main                 |ControlServlet                |I| Loading webapp [accounting], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\accounting\webapp\accounting\
2023-12-26 16:54:26,818 |main                 |ServiceDispatcher             |I| Registering dispatcher: ar
2023-12-26 16:54:26,818 |main                 |ServiceContainer              |I| Created new dispatcher: ar
2023-12-26 16:54:26,820 |main                 |ControlServlet                |I| Loading webapp [ar], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\accounting\webapp\ar\
2023-12-26 16:54:26,834 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 16 requests, 10 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/ar/WEB-INF/controller.xml
2023-12-26 16:54:26,868 |main                 |ServiceDispatcher             |I| Registering dispatcher: example
2023-12-26 16:54:26,869 |main                 |ServiceContainer              |I| Created new dispatcher: example
2023-12-26 16:54:26,871 |main                 |ControlServlet                |I| Loading webapp [example], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\example\webapp\example\
2023-12-26 16:54:26,950 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 2 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/example/widget/example/ExampleCompoundWidgets.xml
2023-12-26 16:54:26,953 |main                 |ConfigXMLReader               |I| controller loaded: 0.069s, 51 requests, 35 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/example/webapp/example/WEB-INF/controller.xml
2023-12-26 16:54:27,060 |main                 |ServiceDispatcher             |I| Registering dispatcher: manufacturing
2023-12-26 16:54:27,060 |main                 |ServiceContainer              |I| Created new dispatcher: manufacturing
2023-12-26 16:54:27,062 |main                 |ControlServlet                |I| Loading webapp [manufacturing], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\manufacturing\webapp\manufacturing\
2023-12-26 16:54:27,095 |main                 |ConfigXMLReader               |I| controller loaded: 0.006s, 149 requests, 66 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/manufacturing/webapp/manufacturing/WEB-INF/controller.xml
2023-12-26 16:54:27,132 |main                 |ServiceDispatcher             |I| Registering dispatcher: pricat
2023-12-26 16:54:27,132 |main                 |ServiceContainer              |I| Created new dispatcher: pricat
2023-12-26 16:54:27,133 |main                 |ControlServlet                |I| Loading webapp [pricatdemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\pricat\webapp\pricatdemo\
2023-12-26 16:54:27,152 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 7 requests, 5 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/pricat/webapp/pricatdemo/WEB-INF/controller.xml
2023-12-26 16:54:27,187 |main                 |ServiceDispatcher             |I| Registering dispatcher: bi
2023-12-26 16:54:27,187 |main                 |ServiceContainer              |I| Created new dispatcher: bi
2023-12-26 16:54:27,189 |main                 |ControlServlet                |I| Loading webapp [bi], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\bi\webapp\bi\
2023-12-26 16:54:27,205 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 6 requests, 4 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/bi/webapp/bi/WEB-INF/controller.xml
2023-12-26 16:54:27,246 |main                 |ServiceDispatcher             |I| Registering dispatcher: ecommerce
2023-12-26 16:54:27,246 |main                 |ServiceContainer              |I| Created new dispatcher: ecommerce
2023-12-26 16:54:27,247 |main                 |ControlServlet                |I| Loading webapp [ecomseo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\ecommerce\webapp\ecomseo\
2023-12-26 16:54:27,286 |main                 |ConfigXMLReader               |I| controller loaded: 0.008s, 290 requests, 96 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ecommerce/webapp/ecommerce/WEB-INF/controller.xml
2023-12-26 16:54:27,286 |main                 |ConfigXMLReader               |I| controller loaded: 0.028s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ecommerce/webapp/ecomseo/WEB-INF/controller.xml
2023-12-26 16:54:27,297 |main                 |SeoConfigUtil                 |I| Parsing ^.*/.*$
2023-12-26 16:54:27,297 |main                 |SeoConfigUtil                 |I| Parsing category-url [true]:
2023-12-26 16:54:27,297 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /ecomseo
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I|   category-name: false
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I|   category-url-suffix: .html
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I| Parsing jsessionid [true]:
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I|   anonymous: false
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I|   exceptions: 
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I|     url-pattern: ^.*/(keywordsearch|logout).*$
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I|   user: false
2023-12-26 16:54:27,298 |main                 |SeoConfigUtil                 |I| Parsing url-config
2023-12-26 16:54:27,299 |main                 |SeoConfigUtil                 |I|   url-pattern: ^(.*);jsessionid=(.*)jvm[1-9](.*)$
2023-12-26 16:54:27,299 |main                 |SeoConfigUtil                 |I|     seo replacement: $1$3
2023-12-26 16:54:27,299 |main                 |SeoConfigUtil                 |I|     forward replacement: $1$3
2023-12-26 16:54:27,299 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:27,300 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/main$
2023-12-26 16:54:27,300 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/
2023-12-26 16:54:27,300 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/
2023-12-26 16:54:27,300 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:27,300 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/main$
2023-12-26 16:54:27,301 |main                 |SeoConfigUtil                 |I|     seo replacement: /
2023-12-26 16:54:27,301 |main                 |SeoConfigUtil                 |I|     forward replacement: /
2023-12-26 16:54:27,301 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:27,301 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/control/(.*)$
2023-12-26 16:54:27,302 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/$1
2023-12-26 16:54:27,302 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/$1
2023-12-26 16:54:27,302 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-26 16:54:27,302 |main                 |SeoConfigUtil                 |I| Parsing char-filter: 
2023-12-26 16:54:27,302 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00fc
2023-12-26 16:54:27,303 |main                 |SeoConfigUtil                 |I|   replacement: ue
2023-12-26 16:54:27,303 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00e4
2023-12-26 16:54:27,303 |main                 |SeoConfigUtil                 |I|   replacement: ae
2023-12-26 16:54:27,303 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00f6
2023-12-26 16:54:27,304 |main                 |SeoConfigUtil                 |I|   replacement: oe
2023-12-26 16:54:27,304 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00df
2023-12-26 16:54:27,304 |main                 |SeoConfigUtil                 |I|   replacement: ss
2023-12-26 16:54:27,304 |main                 |SeoConfigUtil                 |I|   character-pattern: \\+
2023-12-26 16:54:27,304 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-26 16:54:27,305 |main                 |SeoConfigUtil                 |I|   character-pattern: \u0026
2023-12-26 16:54:27,305 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-26 16:54:27,305 |main                 |SeoConfigUtil                 |I|   character-pattern: è
2023-12-26 16:54:27,305 |main                 |SeoConfigUtil                 |I|   replacement: e
2023-12-26 16:54:27,305 |main                 |SeoConfigUtil                 |I|   character-pattern: [^A-Za-z0-9+-]
2023-12-26 16:54:27,305 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-26 16:54:27,305 |main                 |SeoConfigUtil                 |I|   character-pattern: -{2,}
2023-12-26 16:54:27,305 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-26 16:54:27,353 |main                 |ServiceDispatcher             |I| Registering dispatcher: facility
2023-12-26 16:54:27,353 |main                 |ServiceContainer              |I| Created new dispatcher: facility
2023-12-26 16:54:27,355 |main                 |ControlServlet                |I| Loading webapp [facility], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\product\webapp\facility\
2023-12-26 16:54:27,376 |main                 |ConfigXMLReader               |I| controller loaded: 0.005s, 243 requests, 95 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/webapp/facility/WEB-INF/controller.xml
2023-12-26 16:54:27,419 |main                 |ServiceDispatcher             |I| Registering dispatcher: ical
2023-12-26 16:54:27,419 |main                 |ServiceContainer              |I| Created new dispatcher: ical
2023-12-26 16:54:27,463 |main                 |ServiceDispatcher             |I| Registering dispatcher: msggateway
2023-12-26 16:54:27,463 |main                 |ServiceContainer              |I| Created new dispatcher: msggateway
2023-12-26 16:54:27,464 |main                 |ControlServlet                |I| Loading webapp [msggateway], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\msggateway\webapp\msggateway\
2023-12-26 16:54:27,477 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 1 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/msggateway/webapp/msggateway/WEB-INF/controller.xml
2023-12-26 16:54:27,510 |main                 |ServiceDispatcher             |I| Registering dispatcher: exampleext
2023-12-26 16:54:27,510 |main                 |ServiceContainer              |I| Created new dispatcher: exampleext
2023-12-26 16:54:27,512 |main                 |ControlServlet                |I| Loading webapp [exampleext], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\exampleext\webapp\exampleext\
2023-12-26 16:54:27,529 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/exampleext/webapp/exampleext/WEB-INF/controller.xml
2023-12-26 16:54:27,571 |main                 |ServiceDispatcher             |I| Registering dispatcher: rest-api
2023-12-26 16:54:27,571 |main                 |ServiceContainer              |I| Created new dispatcher: rest-api
