2023-11-17 12:47:02,414 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-17 12:47:24,492 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,493 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,494 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,497 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,499 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,500 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943-B4
2023-11-17 12:47:24,500 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,501 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,503 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,503 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,506 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,507 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [1] milliseconds
2023-11-17 12:47:24,511 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,512 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,513 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,513 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943-S3
2023-11-17 12:47:24,516 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,518 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,518 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,520 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,522 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,525 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,526 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,527 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,527 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,529 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943-S4
2023-11-17 12:47:24,538 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,539 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,555 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-17 12:47:24,558 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-17 12:47:24,558 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [3] milliseconds
2023-11-17 12:47:24,559 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-17 12:47:24,562 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9944
2023-11-17 12:47:24,562 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-17 12:47:24,563 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [3] milliseconds
2023-11-17 12:47:24,565 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-17 12:47:24,569 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [2] milliseconds
2023-11-17 12:47:24,569 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [4] milliseconds
2023-11-17 12:47:24,571 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-17 12:47:24,575 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [2] milliseconds
2023-11-17 12:47:24,575 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [4] milliseconds
2023-11-17 12:47:24,576 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: clearAssociatedRenderCache, triggered by rule on Entity: ElectronicText
2023-11-17 12:47:24,578 |main                 |ServiceDispatcher             |T| Sync service [entity-default/clearAssociatedRenderCache] finished in [1] milliseconds
2023-11-17 12:47:24,579 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: clearAssociatedRenderCache, triggered by rule on Entity: ElectronicText
2023-11-17 12:47:24,581 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: clearAssociatedRenderCache, triggered by rule on Entity: ElectronicText
2023-11-17 12:47:24,584 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: clearAssociatedRenderCache, triggered by rule on Entity: ElectronicText
2023-11-17 12:47:24,589 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,591 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [2] milliseconds
2023-11-17 12:47:24,593 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-17 12:47:24,596 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-17 12:47:24,597 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [3] milliseconds
2023-11-17 12:47:24,598 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-17 12:47:24,600 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-17 12:47:24,600 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1000
2023-11-17 12:47:24,601 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [2] milliseconds
2023-11-17 12:47:24,604 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,605 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,607 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: SupplierProduct
2023-11-17 12:47:24,634 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,634 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1000
2023-11-17 12:47:24,636 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,637 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,638 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,640 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,641 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,642 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,645 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,646 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,647 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,649 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,650 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,651 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,653 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,654 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,655 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,657 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,658 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,660 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,662 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2023-11-17 12:47:24,664 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [2] milliseconds
2023-11-17 12:47:24,682 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1001
2023-11-17 12:47:24,707 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-17 12:47:24,709 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-17 12:47:24,710 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [3] milliseconds
2023-11-17 12:47:24,711 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-17 12:47:24,714 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-17 12:47:24,715 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [4] milliseconds
2023-11-17 12:47:24,717 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1001
2023-11-17 12:47:24,729 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexWorkEffortKeywords, triggered by rule on Entity: WorkEffort
2023-11-17 12:47:24,746 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1004
2023-11-17 12:47:24,778 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1004
2023-11-17 12:47:24,784 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexWorkEffortKeywords] finished in [54] milliseconds
2023-11-17 12:47:24,820 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1005
2023-11-17 12:47:24,850 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,852 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,852 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,854 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,855 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1005
2023-11-17 12:47:24,856 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,856 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,858 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,859 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,860 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,861 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,863 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,864 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,865 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,867 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,867 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,869 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,870 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,871 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,872 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,874 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,875 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,876 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,878 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,879 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [3] milliseconds
2023-11-17 12:47:24,881 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,884 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,884 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [3] milliseconds
2023-11-17 12:47:24,886 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,887 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,888 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,888 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,889 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,892 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,892 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [3] milliseconds
2023-11-17 12:47:24,893 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,895 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,895 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,896 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1006
2023-11-17 12:47:24,897 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,899 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,900 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,901 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,902 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,904 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,904 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [3] milliseconds
2023-11-17 12:47:24,905 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,906 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,907 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,908 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,910 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,910 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,912 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,914 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,914 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,915 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,917 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [1] milliseconds
2023-11-17 12:47:24,919 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromProductAssoc, triggered by rule on Entity: ProductAssoc
2023-11-17 12:47:24,920 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-17 12:47:24,921 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromProductAssoc] finished in [2] milliseconds
2023-11-17 12:47:24,932 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1006
2023-11-17 12:47:24,961 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2002
2023-11-17 12:47:24,989 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2002
2023-11-17 12:47:25,018 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,021 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [2] milliseconds
2023-11-17 12:47:25,022 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,033 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-17 12:47:25,044 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,046 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,046 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [24] milliseconds
2023-11-17 12:47:25,046 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,053 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [4] milliseconds
2023-11-17 12:47:25,056 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductRelatedPermission] finished in [1] milliseconds
2023-11-17 12:47:25,057 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductFacilityRelatedPermission] finished in [3] milliseconds
2023-11-17 12:47:25,060 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateProductFacility] finished in [6] milliseconds
2023-11-17 12:47:25,061 |main                 |ServiceDispatcher             |T| Sync service [entity-default/setLastInventoryCount] finished in [15] milliseconds
2023-11-17 12:47:25,064 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,066 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [2] milliseconds
2023-11-17 12:47:25,068 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,073 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,075 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [2] milliseconds
2023-11-17 12:47:25,075 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [6] milliseconds
2023-11-17 12:47:25,075 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,078 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-17 12:47:25,081 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [4] milliseconds
2023-11-17 12:47:25,084 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductRelatedPermission] finished in [1] milliseconds
2023-11-17 12:47:25,085 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductFacilityRelatedPermission] finished in [3] milliseconds
2023-11-17 12:47:25,087 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateProductFacility] finished in [5] milliseconds
2023-11-17 12:47:25,088 |main                 |ServiceDispatcher             |T| Sync service [entity-default/setLastInventoryCount] finished in [12] milliseconds
2023-11-17 12:47:25,091 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,093 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [2] milliseconds
2023-11-17 12:47:25,095 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,100 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,101 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,102 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [7] milliseconds
2023-11-17 12:47:25,102 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,108 |main                 |ServiceDispatcher             |T| Sync service [entity-default/getInventoryAvailableByFacility] finished in [4] milliseconds
2023-11-17 12:47:25,112 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductRelatedPermission] finished in [2] milliseconds
2023-11-17 12:47:25,112 |main                 |ServiceDispatcher             |T| Sync service [entity-default/checkProductFacilityRelatedPermission] finished in [3] milliseconds
2023-11-17 12:47:25,116 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateProductFacility] finished in [6] milliseconds
2023-11-17 12:47:25,116 |main                 |ServiceDispatcher             |T| Sync service [entity-default/setLastInventoryCount] finished in [14] milliseconds
2023-11-17 12:47:25,118 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,120 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,122 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateInventoryItemFromDetail, triggered by rule on Entity: InventoryItemDetail
2023-11-17 12:47:25,123 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-17 12:47:25,127 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: updateSerializedInventoryTotals, triggered by rule on Entity: InventoryItem
2023-11-17 12:47:25,128 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateSerializedInventoryTotals] finished in [1] milliseconds
2023-11-17 12:47:25,129 |main                 |ServiceDispatcher             |T| Sync service [entity-default/updateInventoryItemFromDetail] finished in [7] milliseconds
2023-11-17 12:47:25,129 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: setLastInventoryCount, triggered by rule on Entity: InventoryItemDetail
