2023-12-21 15:22:12,052 |jsse-nio-8443-exec-2 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-21 16:58:36,456 |main                 |ServiceDispatcher             |I| Registering dispatcher: ar
2023-12-21 16:58:36,456 |main                 |ServiceContainer              |I| Created new dispatcher: ar
2023-12-21 16:58:36,462 |main                 |ControlServlet                |I| Loading webapp [ar], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\accounting\webapp\ar\
2023-12-21 16:58:36,502 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 16 requests, 10 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/ar/WEB-INF/controller.xml
2023-12-21 16:58:36,535 |main                 |ServiceDispatcher             |I| Registering dispatcher: example
2023-12-21 16:58:36,535 |main                 |ServiceContainer              |I| Created new dispatcher: example
2023-12-21 16:58:36,538 |main                 |ControlServlet                |I| Loading webapp [example], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\example\webapp\example\
2023-12-21 16:58:36,778 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 2 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/example/widget/example/ExampleCompoundWidgets.xml
2023-12-21 16:58:36,779 |main                 |ConfigXMLReader               |I| controller loaded: 0.211s, 51 requests, 35 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/example/webapp/example/WEB-INF/controller.xml
2023-12-21 16:58:36,883 |main                 |ServiceDispatcher             |I| Registering dispatcher: manufacturing
2023-12-21 16:58:36,883 |main                 |ServiceContainer              |I| Created new dispatcher: manufacturing
2023-12-21 16:58:36,885 |main                 |ControlServlet                |I| Loading webapp [manufacturing], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\manufacturing\webapp\manufacturing\
2023-12-21 16:58:36,914 |main                 |ConfigXMLReader               |I| controller loaded: 0.004s, 149 requests, 66 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/manufacturing/webapp/manufacturing/WEB-INF/controller.xml
2023-12-21 16:58:36,957 |main                 |ServiceDispatcher             |I| Registering dispatcher: pricat
2023-12-21 16:58:36,958 |main                 |ServiceContainer              |I| Created new dispatcher: pricat
2023-12-21 16:58:36,960 |main                 |ControlServlet                |I| Loading webapp [pricatdemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\pricat\webapp\pricatdemo\
2023-12-21 16:58:36,982 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 7 requests, 5 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/pricat/webapp/pricatdemo/WEB-INF/controller.xml
2023-12-21 16:58:37,009 |main                 |ServiceDispatcher             |I| Registering dispatcher: bi
2023-12-21 16:58:37,009 |main                 |ServiceContainer              |I| Created new dispatcher: bi
2023-12-21 16:58:37,011 |main                 |ControlServlet                |I| Loading webapp [bi], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\bi\webapp\bi\
2023-12-21 16:58:37,031 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 6 requests, 4 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/bi/webapp/bi/WEB-INF/controller.xml
2023-12-21 16:58:37,190 |main                 |ServiceDispatcher             |I| Registering dispatcher: ecommerce
2023-12-21 16:58:37,190 |main                 |ServiceContainer              |I| Created new dispatcher: ecommerce
2023-12-21 16:58:37,192 |main                 |ControlServlet                |I| Loading webapp [ecomseo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\ecommerce\webapp\ecomseo\
2023-12-21 16:58:37,261 |main                 |ConfigXMLReader               |I| controller loaded: 0.01s, 290 requests, 96 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ecommerce/webapp/ecommerce/WEB-INF/controller.xml
2023-12-21 16:58:37,261 |main                 |ConfigXMLReader               |I| controller loaded: 0.047s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ecommerce/webapp/ecomseo/WEB-INF/controller.xml
2023-12-21 16:58:37,297 |main                 |SeoConfigUtil                 |I| Parsing ^.*/.*$
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I| Parsing category-url [true]:
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /ecomseo
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|   category-name: false
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|   category-url-suffix: .html
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I| Parsing jsessionid [true]:
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|   anonymous: false
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|   exceptions: 
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|     url-pattern: ^.*/(keywordsearch|logout).*$
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|   user: false
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I| Parsing url-config
2023-12-21 16:58:37,298 |main                 |SeoConfigUtil                 |I|   url-pattern: ^(.*);jsessionid=(.*)jvm[1-9](.*)$
2023-12-21 16:58:37,299 |main                 |SeoConfigUtil                 |I|     seo replacement: $1$3
2023-12-21 16:58:37,299 |main                 |SeoConfigUtil                 |I|     forward replacement: $1$3
2023-12-21 16:58:37,299 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-21 16:58:37,299 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/main$
2023-12-21 16:58:37,299 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/
2023-12-21 16:58:37,299 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/
2023-12-21 16:58:37,299 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-21 16:58:37,299 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/main$
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|     seo replacement: /
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|     forward replacement: /
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/control/(.*)$
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/$1
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/$1
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I| Parsing char-filter: 
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00fc
2023-12-21 16:58:37,301 |main                 |SeoConfigUtil                 |I|   replacement: ue
2023-12-21 16:58:37,308 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00e4
2023-12-21 16:58:37,308 |main                 |SeoConfigUtil                 |I|   replacement: ae
2023-12-21 16:58:37,308 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00f6
2023-12-21 16:58:37,308 |main                 |SeoConfigUtil                 |I|   replacement: oe
2023-12-21 16:58:37,308 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00df
2023-12-21 16:58:37,308 |main                 |SeoConfigUtil                 |I|   replacement: ss
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   character-pattern: \\+
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   character-pattern: \u0026
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   character-pattern: è
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   replacement: e
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   character-pattern: [^A-Za-z0-9+-]
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   character-pattern: -{2,}
2023-12-21 16:58:37,309 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-21 16:58:37,370 |main                 |ServiceDispatcher             |I| Registering dispatcher: facility
2023-12-21 16:58:37,370 |main                 |ServiceContainer              |I| Created new dispatcher: facility
2023-12-21 16:58:37,376 |main                 |ControlServlet                |I| Loading webapp [facility], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\product\webapp\facility\
2023-12-21 16:58:37,443 |main                 |ConfigXMLReader               |I| controller loaded: 0.006s, 243 requests, 95 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/webapp/facility/WEB-INF/controller.xml
2023-12-21 16:58:37,506 |main                 |ServiceDispatcher             |I| Registering dispatcher: ical
2023-12-21 16:58:37,507 |main                 |ServiceContainer              |I| Created new dispatcher: ical
2023-12-21 16:58:37,569 |main                 |ServiceDispatcher             |I| Registering dispatcher: msggateway
2023-12-21 16:58:37,569 |main                 |ServiceContainer              |I| Created new dispatcher: msggateway
2023-12-21 16:58:37,572 |main                 |ControlServlet                |I| Loading webapp [msggateway], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\msggateway\webapp\msggateway\
2023-12-21 16:58:37,597 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 1 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/msggateway/webapp/msggateway/WEB-INF/controller.xml
2023-12-21 16:58:37,630 |main                 |ServiceDispatcher             |I| Registering dispatcher: exampleext
2023-12-21 16:58:37,631 |main                 |ServiceContainer              |I| Created new dispatcher: exampleext
2023-12-21 16:58:37,633 |main                 |ControlServlet                |I| Loading webapp [exampleext], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\exampleext\webapp\exampleext\
2023-12-21 16:58:37,663 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/exampleext/webapp/exampleext/WEB-INF/controller.xml
2023-12-21 16:58:37,717 |main                 |ServiceDispatcher             |I| Registering dispatcher: rest-api
2023-12-21 16:58:37,717 |main                 |ServiceContainer              |I| Created new dispatcher: rest-api
2023-12-21 16:58:37,717 |main                 |ApiContextListener            |I| Api Jersey Context initialized, delegator org.apache.ofbiz.entity.GenericDelegator@2fd39436, dispatcher
2023-12-21 16:58:38,229 |main                 |OFBizApiConfig                |I| No API definitions to process
2023-12-21 16:58:39,847 |main                 |ServiceDispatcher             |I| Registering dispatcher: sfa
2023-12-21 16:58:39,847 |main                 |ServiceContainer              |I| Created new dispatcher: sfa
2023-12-21 16:58:39,850 |main                 |ControlServlet                |I| Loading webapp [sfa], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\marketing\webapp\sfa\
2023-12-21 16:58:39,929 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-12-21 16:58:39,935 |main                 |ConfigXMLReader               |I| controller loaded: 0.034s, 268 requests, 110 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/party/webapp/partymgr/WEB-INF/controller.xml
2023-12-21 16:58:40,052 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 9 requests, 5 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortCpd.xml
2023-12-21 16:58:40,121 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortCommEventCpd.xml
2023-12-21 16:58:40,174 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortContentsCpd.xml
2023-12-21 16:58:40,225 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortEventRemindersCpd.xml
2023-12-21 16:58:40,287 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortGoodStandardsCpd.xml
2023-12-21 16:58:40,344 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortKeywordsCpd.xml
2023-12-21 16:58:40,408 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortNotesCpd.xml
2023-12-21 16:58:40,463 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortOrdersCpd.xml
2023-12-21 16:58:40,520 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortPartyAssignCpd.xml
2023-12-21 16:58:40,586 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 8 requests, 4 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortQuotesCpd.xml
2023-12-21 16:58:40,641 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortRateAssignCpd.xml
2023-12-21 16:58:40,697 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 8 requests, 4 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortRequestAndItemCpd.xml
2023-12-21 16:58:40,757 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 7 requests, 4 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortRequirementsCpd.xml
2023-12-21 16:58:40,813 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortReviewsCpd.xml
2023-12-21 16:58:40,873 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortShopListCpd.xml
2023-12-21 16:58:40,918 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 9 requests, 4 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortTimeEntriesCpd.xml
2023-12-21 16:58:40,967 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortContactMechCpd.xml
2023-12-21 16:58:41,012 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortAgreementCpd.xml
2023-12-21 16:58:41,068 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortFixedAssetCpd.xml
2023-12-21 16:58:41,112 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/widget/workeffort/WorkEffortAttributeCpd.xml
2023-12-21 16:58:41,113 |main                 |ConfigXMLReader               |I| controller loaded: 1.118s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/webapp/workeffort/WEB-INF/workeffort-controller.xml
2023-12-21 16:58:41,129 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 15 requests, 7 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/webapp/workeffort/WEB-INF/icalendar-controller.xml
2023-12-21 16:58:41,130 |main                 |ConfigXMLReader               |I| controller loaded: 1.158s, 94 requests, 69 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/webapp/workeffort/WEB-INF/controller.xml
2023-12-21 16:58:41,132 |main                 |ConfigXMLReader               |I| controller loaded: 1.261s, 55 requests, 36 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/marketing/webapp/sfa/WEB-INF/controller.xml
2023-12-21 16:58:41,188 |main                 |ServiceDispatcher             |I| Registering dispatcher: Humanres
2023-12-21 16:58:41,188 |main                 |ServiceContainer              |I| Created new dispatcher: Humanres
2023-12-21 16:58:41,190 |main                 |ControlServlet                |I| Loading webapp [humanres], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\humanres\webapp\humanres\
2023-12-21 16:58:41,222 |main                 |ConfigXMLReader               |I| controller loaded: 0.003s, 232 requests, 98 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/humanres/webapp/humanres/WEB-INF/controller.xml
2023-12-21 16:58:41,309 |main                 |ServiceDispatcher             |I| Registering dispatcher: partymgr
2023-12-21 16:58:41,310 |main                 |ServiceContainer              |I| Created new dispatcher: partymgr
2023-12-21 16:58:41,312 |main                 |ControlServlet                |I| Loading webapp [partymgr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\party\webapp\partymgr\
2023-12-21 16:58:41,398 |main                 |ServiceDispatcher             |I| Registering dispatcher: webtools
2023-12-21 16:58:41,399 |main                 |ServiceContainer              |I| Created new dispatcher: webtools
2023-12-21 16:58:41,404 |main                 |ControlServlet                |I| Loading webapp [webtools], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\framework\webtools\webapp\webtools\
2023-12-21 16:58:41,487 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2023-12-21 16:58:43,264 |main                 |ConfigXMLReader               |I| controller loaded: 1.802s, 122 requests, 79 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2023-12-21 16:58:43,308 |main                 |ServiceDispatcher             |I| Registering dispatcher: workeffort
2023-12-21 16:58:43,308 |main                 |ServiceContainer              |I| Created new dispatcher: workeffort
2023-12-21 16:58:43,310 |main                 |ControlServlet                |I| Loading webapp [workeffort], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\workeffort\webapp\workeffort\
2023-12-21 16:58:43,357 |main                 |ServiceDispatcher             |I| Registering dispatcher: scrum
2023-12-21 16:58:43,358 |main                 |ServiceContainer              |I| Created new dispatcher: scrum
2023-12-21 16:58:43,359 |main                 |ControlServlet                |I| Loading webapp [scrum], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\scrum\webapp\scrum\
2023-12-21 16:58:43,403 |main                 |ConfigXMLReader               |I| controller loaded: 0.004s, 207 requests, 81 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/scrum/webapp/scrum/WEB-INF/controller.xml
2023-12-21 16:58:48,780 |main                 |ServiceDispatcher             |I| Registering dispatcher: solr
2023-12-21 16:58:48,780 |main                 |ServiceContainer              |I| Created new dispatcher: solr
2023-12-21 16:58:48,781 |main                 |ControlServlet                |I| Loading webapp [solr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\solr\webapp\solr\
2023-12-21 16:58:48,848 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-21 16:58:48,850 |main                 |ConfigXMLReader               |I| controller loaded: 0.016s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-21 16:58:48,867 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/webapp/WEB-INF/controller.xml
2023-12-21 16:58:48,868 |main                 |ConfigXMLReader               |I| controller loaded: 0.048s, 4 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/solr/webapp/solr/WEB-INF/controller.xml
2023-12-21 16:58:48,966 |main                 |ServiceDispatcher             |I| Registering dispatcher: projectmgr
2023-12-21 16:58:48,966 |main                 |ServiceContainer              |I| Created new dispatcher: projectmgr
2023-12-21 16:58:48,968 |main                 |ControlServlet                |I| Loading webapp [projectmgr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\projectmgr\webapp\projectmgr\
2023-12-21 16:58:49,034 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-12-21 16:58:49,041 |main                 |ConfigXMLReader               |I| controller loaded: 0.022s, 539 requests, 178 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/webapp/catalog/WEB-INF/controller.xml
2023-12-21 16:58:49,086 |main                 |ConfigXMLReader               |I| controller loaded: 0.007s, 347 requests, 134 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/content/webapp/content/WEB-INF/controller.xml
2023-12-21 16:58:49,094 |main                 |ConfigXMLReader               |I| controller loaded: 0.029s, 380 requests, 153 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/webapp/ordermgr/WEB-INF/controller.xml
2023-12-21 16:58:49,120 |main                 |ConfigXMLReader               |I| controller loaded: 0.008s, 518 requests, 247 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/accounting/WEB-INF/controller.xml
2023-12-21 16:58:49,123 |main                 |ConfigXMLReader               |I| controller loaded: 0.12s, 125 requests, 50 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/projectmgr/webapp/projectmgr/WEB-INF/controller.xml
2023-12-21 16:58:49,203 |main                 |ControlServlet                |I| Loading webapp [ecommerce], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\ecommerce\webapp\ecommerce\
2023-12-21 16:58:49,232 |main                 |ConfigXMLReader               |I| controller loaded: 0.006s, 290 requests, 96 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ecommerce/webapp/ecommerce/WEB-INF/controller.xml
2023-12-21 16:58:49,275 |main                 |ControlServlet                |I| Loading webapp [scrumdemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\scrum\webapp\demotest\
2023-12-21 16:58:49,310 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 2 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/scrum/webapp/demotest/WEB-INF/controller.xml
2023-12-21 16:58:49,359 |main                 |ServiceDispatcher             |I| Registering dispatcher: lucene
2023-12-21 16:58:49,359 |main                 |ServiceContainer              |I| Created new dispatcher: lucene
2023-12-21 16:58:49,361 |main                 |ControlServlet                |I| Loading webapp [content], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\lucene\webapp\content\
2023-12-21 16:58:49,393 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 5 requests, 3 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/lucene/webapp/content/WEB-INF/controller.xml
2023-12-21 16:58:49,427 |main                 |ControlServlet                |I| Loading webapp [pricat], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\pricat\webapp\pricat\
2023-12-21 16:58:49,458 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 3 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/pricat/webapp/pricat/WEB-INF/controller.xml
2023-12-21 16:58:49,537 |main                 |ServiceDispatcher             |I| Registering dispatcher: CmsSite
2023-12-21 16:58:49,537 |main                 |ServiceContainer              |I| Created new dispatcher: CmsSite
2023-12-21 16:58:49,538 |main                 |ControlServlet                |I| Loading webapp [cmssite], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\cmssite\webapp\cmssite\
2023-12-21 16:58:49,561 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 1 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/cmssite/webapp/cmssite/WEB-INF/controller.xml
2023-12-21 16:58:49,599 |main                 |ServiceDispatcher             |I| Registering dispatcher: prashuDemo
2023-12-21 16:58:49,600 |main                 |ServiceContainer              |I| Created new dispatcher: prashuDemo
2023-12-21 16:58:49,603 |main                 |ControlServlet                |I| Loading webapp [prashuDemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\prashuDemo\webapp\prashuDemo\
2023-12-21 16:58:49,629 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 3 requests, 3 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/prashuDemo/webapp/prashuDemo/WEB-INF/controller.xml
2023-12-21 16:58:49,672 |main                 |ServiceDispatcher             |I| Registering dispatcher: ismgr
2023-12-21 16:58:49,672 |main                 |ServiceContainer              |I| Created new dispatcher: ismgr
2023-12-21 16:58:49,673 |main                 |ControlServlet                |I| Loading webapp [ismgr], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\assetmaint\webapp\ismgr\
2023-12-21 16:58:49,714 |main                 |ConfigXMLReader               |I| controller loaded: 0.005s, 243 requests, 95 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/webapp/facility/WEB-INF/controller.xml
2023-12-21 16:58:49,714 |main                 |ConfigXMLReader               |I| controller loaded: 0.02s, 13 requests, 8 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/assetmaint/webapp/ismgr/WEB-INF/controller.xml
2023-12-21 16:58:49,784 |main                 |ServiceDispatcher             |I| Registering dispatcher: assetmaint
2023-12-21 16:58:49,784 |main                 |ServiceContainer              |I| Created new dispatcher: assetmaint
2023-12-21 16:58:49,788 |main                 |ControlServlet                |I| Loading webapp [assetmaint], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\assetmaint\webapp\assetmaint\
2023-12-21 16:58:49,826 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 17 requests, 11 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/assetmaint/webapp/assetmaint/WEB-INF/controller.xml
2023-12-21 16:58:49,861 |main                 |ServiceDispatcher             |I| Registering dispatcher: myportal
2023-12-21 16:58:49,861 |main                 |ServiceContainer              |I| Created new dispatcher: myportal
